x_cm,y_cm,z_cm,kineticEnergy_GeV
-13.8492,1.9559,349.9000,4.2257
-14.4298,-0.1244,349.9000,4.2235
-15.0639,-0.7856,349.9000,4.2221
-14.4320,-1.0117,349.9000,4.2175
-14.9904,0.9660,349.9000,4.2263
-14.4532,0.5895,349.9000,4.2228
-15.2275,-0.4753,349.9000,4.2256
-11.5025,0.2022,349.9000,4.2211
-13.4515,-0.7649,349.9000,4.2267
-13.0674,2.2911,349.9000,4.2246
-16.4431,1.5449,349.9000,4.2236
-14.7642,-0.1059,349.9000,4.2222
-14.3326,1.0102,349.9000,4.2242
-15.0636,-0.4933,349.9000,4.2216
-15.5198,0.3243,349.9000,4.2217
-14.5026,-0.0834,349.9000,4.2224
-17.3747,-2.3820,349.9000,4.2265
-14.4501,-0.8587,349.9000,4.2265
-15.1353,-2.5172,349.9000,4.2248
-16.8161,0.7607,349.9000,4.2225
-15.0525,-0.2074,349.9000,4.2241
-15.6131,0.8478,349.9000,4.2186
-13.1256,-2.4506,349.9000,4.2239
-14.5799,-0.0655,349.9000,4.2265
-14.4501,0.6457,349.9000,4.2246
-15.6044,-0.2058,349.9000,4.2199
-14.0080,0.6498,349.9000,4.2077
-16.2850,1.4150,349.9000,4.2183
-16.7858,0.9616,349.9000,4.2238
-16.3845,-0.1309,349.9000,4.2257
-12.8459,0.2405,349.9000,4.2242
-14.4236,0.2874,349.9000,4.2215
-14.7044,2.1525,349.9000,4.2180
-16.8613,-0.0237,349.9000,4.2246
-14.2139,-0.4542,349.9000,4.2188
-14.0946,-0.3846,349.9000,4.2227
-15.3010,-0.3176,349.9000,4.2249
-14.3639,-0.2611,349.9000,4.2212
-14.3951,-1.3511,349.9000,4.2229
-14.4075,0.1410,349.9000,4.2235
-14.9515,0.1518,349.9000,4.2150
-13.6318,-0.1494,349.9000,4.2250
-15.0346,0.7573,349.9000,4.2226
-14.4275,0.0000,349.9000,4.2248
-14.2314,0.4984,349.9000,4.2192
-12.7669,2.2667,349.9000,4.2208
