x_cm,y_cm,z_cm,kineticEnergy_GeV
-13.7250,0.6377,349.9000,4.1994
-14.5894,0.3599,349.9000,4.2015
-10.3326,-0.6807,349.9000,4.1989
-15.1381,0.4696,349.9000,4.2060
-13.9415,0.2085,349.9000,4.1831
-14.9078,1.2116,349.9000,4.2041
-14.0235,1.3221,349.9000,4.2057
-15.0903,1.2375,349.9000,4.2079
-18.1975,1.8533,349.9000,4.2005
-14.1249,0.0171,349.9000,4.2047
-15.7347,0.5204,349.9000,4.2082
-13.2547,-1.9889,349.9000,4.2006
-14.2332,1.1348,349.9000,4.1822
-18.2071,0.9160,349.9000,4.1911
-16.1883,-1.6943,349.9000,4.2015
-13.9856,-1.3422,349.9000,4.2040
-14.6216,-0.7315,349.9000,4.2035
-14.1044,-1.0889,349.9000,4.2054
-14.0625,-0.9339,349.9000,4.2043
-12.4003,1.4137,349.9000,4.2020
-13.6641,0.8878,349.9000,4.2034
-13.2858,0.3586,349.9000,4.1940
-14.2063,-1.2556,349.9000,4.1996
-14.0343,-0.9703,349.9000,4.1930
-14.2145,0.8920,349.9000,4.2066
-15.2164,-0.3552,349.9000,4.2035
-14.1493,-1.9166,349.9000,4.2054
-15.7209,0.8208,349.9000,4.2015
-14.0915,-1.3386,349.9000,4.2059
-15.5971,-1.1133,349.9000,4.2081
-15.2989,-0.3009,349.9000,4.2044
-13.2454,0.6289,349.9000,4.2059
-14.0236,-2.0979,349.9000,4.2071
-14.5848,1.5264,349.9000,4.2005
-14.2919,1.3027,349.9000,4.2044
-13.6996,0.3128,349.9000,4.2024
-15.8545,-0.7148,349.9000,4.2036
-16.0625,0.9831,349.9000,4.1927
-13.5091,-4.4818,349.9000,4.1913
-13.7548,0.4218,349.9000,4.1723
-17.4597,1.3020,349.9000,4.2023
-14.8875,1.6727,349.9000,4.1836
-12.2231,0.0882,349.9000,4.2019
-13.9417,4.4406,349.9000,4.2069
-15.5067,1.3653,349.9000,4.2092
-13.0819,0.9081,349.9000,4.2046
-13.7794,0.3131,349.9000,4.2018
-13.2049,0.0188,349.9000,4.2056
-14.7541,-0.8475,349.9000,4.2066
-14.1514,-0.5734,349.9000,4.2057
-14.4023,-0.0398,349.9000,4.2073
-13.8127,0.4606,349.9000,4.2042
-15.2872,-0.4956,349.9000,4.1973
-17.0074,0.4732,349.9000,4.2045
-10.2630,-1.9840,349.9000,4.1941
-15.7303,-1.3357,349.9000,4.2003
-15.8151,1.4796,349.9000,4.1810
-14.9801,-1.6214,349.9000,4.2070
-14.7276,0.6288,349.9000,4.1974
-14.5252,-2.3822,349.9000,4.2037
-15.2218,1.2411,349.9000,4.1965
-15.2984,0.6069,349.9000,4.1834
-14.9477,-0.2784,349.9000,4.1922
-15.0451,1.8149,349.9000,4.2055
-14.0818,0.6103,349.9000,4.1927
-16.8333,-0.1039,349.9000,4.2019
-13.5408,-0.0583,349.9000,4.1861
-13.1788,-0.6660,349.9000,4.2049
-14.5023,-0.3731,349.9000,4.2025
-14.4682,1.8377,349.9000,4.2066
-14.5283,-1.0222,349.9000,4.2052
-13.6274,-1.2868,349.9000,4.2072
-16.3554,-1.0269,349.9000,4.2007
-14.6911,0.0281,349.9000,4.2032
-12.1597,-1.3042,349.9000,4.2008
-13.8995,-1.6510,349.9000,4.2063
-16.1306,-0.7045,349.9000,4.2030
-15.2243,-0.0640,349.9000,4.1882
-13.8383,0.7819,349.9000,4.2084
-11.6630,8.4572,349.9000,4.2014
-14.8897,-0.7929,349.9000,4.2011
-12.8800,1.1267,349.9000,4.2016
-15.2446,-1.1639,349.9000,4.1989
-15.0516,2.5910,349.9000,4.1983
-10.5213,-0.4689,349.9000,4.1733
-15.1281,1.1871,349.9000,4.2010
-16.4231,2.1430,349.9000,4.1977
-14.2556,-0.1253,349.9000,4.2039
-13.8959,-0.5042,349.9000,4.1992
-14.4897,0.3020,349.9000,4.1880
-15.6621,1.2627,349.9000,4.2058
-15.2489,1.0836,349.9000,4.2030
-18.5546,-2.1022,349.9000,4.2005
-14.1818,-0.8864,349.9000,4.1968
-13.1257,-1.3828,349.9000,4.2052
-14.9518,1.6167,349.9000,4.2048
-15.1111,1.6799,349.9000,4.1999
-17.1808,-2.0224,349.9000,4.2063
-13.1389,1.4698,349.9000,4.1850
-21.4830,-0.7033,349.9000,4.2073
-15.3423,-4.3085,349.9000,4.2048
-13.4456,-0.7402,349.9000,4.2014
-14.9835,-1.9735,349.9000,4.2078
-14.7296,-0.1517,349.9000,4.1989
-14.1800,-0.7496,349.9000,4.2043
-14.9045,-1.6964,349.9000,4.2033
-16.4462,0.3895,349.9000,4.2052
-14.4663,0.6149,349.9000,4.2075
-15.0672,-0.1353,349.9000,4.2035
-14.3125,1.7459,349.9000,4.2029
-15.8542,0.5551,349.9000,4.1959
-12.8760,-0.8603,349.9000,4.2037
-15.0696,0.0670,349.9000,4.2042
-14.8882,-0.1432,349.9000,4.2025
-16.7251,-0.0184,349.9000,4.1913
-16.1096,0.5229,349.9000,4.2018
-15.6587,0.4603,349.9000,4.2009
-14.4022,0.8498,349.9000,4.2007
-14.4997,0.4370,349.9000,4.2046
-12.0017,-0.4263,349.9000,4.2028
-14.2919,1.8381,349.9000,4.2061
-14.0657,-0.9493,349.9000,4.2051
-16.2659,1.4610,349.9000,4.1991
-15.3502,-0.3164,349.9000,4.1951
-15.7300,-1.3999,349.9000,4.2018
-15.4086,-0.7531,349.9000,4.2022
-14.8969,0.4659,349.9000,4.2047
-15.2290,1.5314,349.9000,4.2054
-15.3942,1.2968,349.9000,4.1780
-14.5678,-0.1837,349.9000,4.1986
-14.2916,-1.1087,349.9000,4.1916
-8.5510,-9.3247,349.9000,4.2015
-13.9253,0.2020,349.9000,4.2009
-13.8680,-1.1720,349.9000,4.2052
-14.1871,0.3331,349.9000,4.2045
-14.8307,-3.2339,349.9000,4.2017
-14.8669,2.6371,349.9000,4.2000
-14.8274,2.5493,349.9000,4.2041
-14.0540,-0.9156,349.9000,4.1921
-14.8982,-0.7836,349.9000,4.1991
-13.1800,-3.5748,349.9000,4.2061
